block	emission	endAmount
4630000	0.6	19326464.2
4635000	0.6	19329464.2
4640000	0.6	19332464.2
4645000	0.6	19335464.2
4650000	0.6	19338464.2
4655000	0.6	19341464.2
4660000	0.6	19344464.2
4665000	0.6	19347464.2
4670000	0.6	19350464.2
4675000	0.6	19353464.2
4680000	0.6	19356464.2
4685000	0.6	19359464.2
4690000	0.6	19362464.2
4695000	0.6	19365464.2
4700000	0.6	19368464.2
4705000	0.6	19371464.2
4710000	0.6	19374464.2
4715000	0.6	19377464.2
4720000	0.6	19380464.2
4725000	0.6	19383464.2
4730000	0.6	19386464.2
4735000	0.6	19389464.2
4740000	0.6	19392464.2
4745000	0.6	19395464.2
4750000	0.6	19398464.2
4755000	0.6	19401464.2
4760000	0.6	19404464.2
4765000	0.6	19407464.2
4770000	0.6	19410464.2
4775000	0.6	19413464.2
4780000	0.6	19416464.2
4785000	0.6	19419464.2
4790000	0.6	19422464.2
4795000	0.6	19425464.2
4800000	0.6	19428464.2
4805000	0.6	19431464.2
4810000	0.6	19434464.2
4815000	0.6	19437464.2
4820000	0.6	19440464.2
4825000	0.6	19443464.2
4830000	0.6	19446464.2
4835000	0.6	19449464.2
4840000	0.6	19452464.2
4845000	0.6	19455464.2
4850000	0.6	19458464.2
4855000	0.6	19461464.2
4860000	0.6	19464464.2
4865000	0.6	19467464.2
4870000	0.6	19470464.2
4875000	0.6	19473464.2
4880000	0.6	19476464.2
4885000	0.6	19479464.2
4890000	0.6	19482464.2
4895000	0.6	19485464.2
4900000	0.6	19488464.2
4905000	0.6	19491464.2
4910000	0.6	19494464.2
4915000	0.6	19497464.2
4920000	0.6	19500464.2
4925000	0.6	19503464.2
4930000	0.6	19506464.2
4935000	0.6	19509464.2
4940000	0.6	19512464.2
4945000	0.6	19515464.2
4950000	0.6	19518464.2
4955000	0.6	19521464.2
4960000	0.6	19524464.2
4965000	0.6	19527464.2
4970000	0.6	19530464.2
4975000	0.6	19533464.2
4980000	0.6	19536464.2
4985000	0.6	19539464.2
4990000	0.6	19542464.2
4995000	0.6	19545464.2
5000000	0.6	19548464.2
5000001	0.00006	0.000001
